transaction_id|transaction_ref|transaction_dt|amount|debit_acct|credit_acct|status|narrative|approval_dt|approved_by_user_id
TRN-550976|I25587P30418|2011-01-10 10:22:04|4589.49|ACT-00021|ACT-93939|processed|payment for invoice # INV-426588|2011-01-13 00:00:00|u9615
TRN-536803|D30145N76761|2013-03-04 09:24:23|41306.56|ACT-00021|ACT-50360|processed|payment for invoice # INV-316512|2013-03-07 00:00:00|u3977
TRN-542697|F54892A35588|2011-12-30 14:23:36|17678.81|ACT-00025|ACT-59698|processed|payment for invoice # INV-890295|2012-01-05 00:00:00|u3977
TRN-759710|S96320K40069|2010-11-11 10:35:17|1760.59|ACT-00021|ACT-95624|processed|payment for invoice # INV-706051|2010-11-18 00:00:00|u9615
TRN-801796|J20925K48500|2011-07-14 11:51:38|4480.10|ACT-00025|ACT-45489|processed|payment for invoice # INV-248439|2011-07-21 00:00:00|u9615
TRN-550554|A18328R33206|2013-01-03 12:28:34|10548.21|ACT-00008|ACT-14189|processed|payment for invoice # INV-954005|2013-01-10 00:00:00|u3977
TRN-208665|H76592D58689|2012-04-30 15:08:05|18389.66|ACT-00008|ACT-46570|processed|payment for invoice # INV-302293|2012-05-03 00:00:00|u2204
TRN-315476|B41160H47683|2014-10-13 10:36:04|1693.00|ACT-00026|ACT-45489|processed|payment for invoice # INV-525517|2014-10-16 00:00:00|u9615
TRN-777094|B35902H26093|2006-03-03 16:24:57|9052.40|ACT-00006|ACT-21097|processed|payment for invoice # INV-380876|2006-03-09 00:00:00|u2204
TRN-185208|C57073W40229|2007-10-01 11:06:13|11263.44|ACT-00035|ACT-87049|processed|payment for invoice # INV-728128|2007-10-04 00:00:00|u2204
TRN-957114|K33928R39470|2015-04-13 12:02:55|139519.17|ACT-00033|ACT-34595|processed|payment for invoice # INV-260849|2015-04-16 00:00:00|u3269
TRN-716577|W67320N84972|2015-04-13 12:50:17|33381.83|ACT-00002|ACT-59698|processed|payment for invoice # INV-149144|2015-04-16 00:00:00|u3977
TRN-186823|W17079G97211|2015-04-16 12:57:19|20637.99|ACT-00014|ACT-34595|processed|payment for invoice # INV-618064|2015-04-23 00:00:00|u2204
TRN-886364|S47337B51528|2011-07-15 10:31:34|1651.48|ACT-00030|ACT-95624|processed|payment for invoice # INV-797727|2011-07-21 00:00:00|u9615
TRN-651242|G25850L58945|2014-05-19 11:03:03|5065.64|ACT-00016|ACT-34595|processed|payment for invoice # INV-879993|2014-05-22 00:00:00|u2204
TRN-284232|K36277U55745|2012-03-09 16:58:55|11780.21|ACT-00020|ACT-87049|processed|payment for invoice # INV-604433|2012-03-15 00:00:00|u2204
TRN-958988|N70982A67553|2014-06-04 15:21:12|33100.00|ACT-00008|ACT-95862|processed|payment for invoice # INV-885979|2014-06-05 00:00:00|u3977
TRN-791223|X10827B48915|2015-03-30 15:44:08|32045.73|ACT-00019|ACT-21097|processed|payment for invoice # INV-748880|2015-04-02 00:00:00|u3977
TRN-298483|H60663O11930|2015-05-11 10:11:30|20400.63|ACT-00030|ACT-84271|processed|payment for invoice # INV-726142|2015-05-21 00:00:00|u2204
TRN-596665|O44291W60002|2014-12-29 14:53:24|6734.78|ACT-00009|ACT-84271|processed|payment for invoice # INV-541282|2015-01-08 00:00:00|u2204
TRN-142018|B27320C89545|2011-04-26 13:00:39|21808.56|ACT-00037|ACT-55676|processed|payment for invoice # INV-112623|2011-04-28 00:00:00|u2204
TRN-123611|V91421R53042|2006-12-11 15:13:04|35264.13|ACT-00016|ACT-20501|processed|payment for invoice # INV-357477|2006-12-14 00:00:00|u3977
TRN-243894|F15888W98615|2011-03-16 13:32:48|2807.66|ACT-00019|ACT-70849|processed|payment for invoice # INV-580804|2011-03-17 00:00:00|u9615
TRN-218421|I57222X27154|2012-11-08 10:52:00|16287.90|ACT-00027|ACT-14189|processed|payment for invoice # INV-180784|2012-11-15 00:00:00|u2204
TRN-644094|G53093C33459|2012-03-12 09:22:47|10387.79|ACT-00030|ACT-50360|processed|payment for invoice # INV-976236|2012-03-15 00:00:00|u2204
TRN-678964|S81213W93991|2012-11-09 11:55:15|21699.08|ACT-00022|ACT-84271|processed|payment for invoice # INV-943671|2012-11-15 00:00:00|u2204
TRN-970466|V88014S84536|2016-02-24 11:45:33|3058.59|ACT-00032|ACT-34595|processed|payment for invoice # INV-380650|2016-02-25 00:00:00|u9615
TRN-595734|W45763O86440|2011-10-20 10:25:49|12996.45|ACT-00003|ACT-93939|processed|payment for invoice # INV-141056|2011-10-27 00:00:00|u3977
TRN-796165|S35870Q57346|2015-01-07 11:46:31|5970.96|ACT-00008|ACT-50360|processed|payment for invoice # INV-323802|2015-01-08 00:00:00|u2204
TRN-680552|Q21136O40022|2014-08-26 13:31:47|37326.84|ACT-00037|ACT-50360|processed|payment for invoice # INV-539246|2014-08-28 00:00:00|u3977
TRN-541906|Y16103G52738|2015-12-14 10:52:00|9660.27|ACT-00019|ACT-55676|processed|payment for invoice # INV-607265|2015-12-17 00:00:00|u2204
TRN-971412|U24244T42905|2012-03-01 14:25:09|27049.26|ACT-00016|ACT-50360|processed|payment for invoice # INV-159681|2012-03-08 00:00:00|u2204
TRN-654130|W87470B16596|2014-04-22 09:43:04|40089.01|ACT-00023|ACT-84271|processed|payment for invoice # INV-850839|2014-04-24 00:00:00|u3977
TRN-634417|K10107F56531|2012-04-30 15:21:35|22693.63|ACT-00011|ACT-55676|processed|payment for invoice # INV-948528|2012-05-03 00:00:00|u2204
TRN-477183|I87563V90398|2015-12-18 16:14:12|26905.06|ACT-00006|ACT-34595|processed|payment for invoice # INV-634529|2015-12-24 00:00:00|u2204
TRN-251296|P69753A52256|2012-05-02 10:48:17|52222.16|ACT-00027|ACT-59698|processed|payment for invoice # INV-104368|2012-05-03 00:00:00|u3977
TRN-294136|Q41892I64002|2013-02-11 11:39:51|6998.39|ACT-00015|ACT-36515|processed|payment for invoice # INV-599264|2013-02-14 00:00:00|u2204
TRN-465965|Z92148P81025|2015-09-28 12:06:30|15141.81|ACT-00019|ACT-45489|processed|payment for invoice # INV-675969|2015-10-01 00:00:00|u2204
TRN-874993|W52629K29072|2006-03-01 16:07:47|31340.96|ACT-00036|ACT-87049|processed|payment for invoice # INV-714012|2006-03-02 00:00:00|u3977
TRN-412501|F60067P23390|2016-11-17 10:32:14|2038.15|ACT-00037|ACT-95624|processed|payment for invoice # INV-732749|2016-11-24 00:00:00|u9615
TRN-553153|L81110V93664|2012-07-25 10:46:54|25064.89|ACT-00009|ACT-45489|processed|payment for invoice # INV-161979|2012-07-26 00:00:00|u2204
TRN-402869|F73052G78404|2015-01-26 16:35:27|6777.66|ACT-00013|ACT-34595|processed|payment for invoice # INV-646050|2015-01-29 00:00:00|u2204
TRN-613180|X36362N58849|2012-04-24 12:21:44|12318.88|ACT-00018|ACT-55676|processed|payment for invoice # INV-945655|2012-04-26 00:00:00|u2204
TRN-945487|B97779R42037|2013-07-29 13:28:22|3685.08|ACT-00026|ACT-59698|processed|payment for invoice # INV-400847|2013-08-08 00:00:00|u9615
TRN-281975|D35220X38137|2015-05-07 10:45:53|4619.76|ACT-00012|ACT-21097|processed|payment for invoice # INV-819672|2015-05-21 00:00:00|u9615
TRN-299476|D95788N10292|2015-08-26 10:35:04|8312.88|ACT-00035|ACT-36515|processed|payment for invoice # INV-493769|2015-08-27 00:00:00|u2204
TRN-281990|D75862X10927|2014-01-15 14:51:50|50084.52|ACT-00005|ACT-46570|processed|payment for invoice # INV-794579|2014-01-16 00:00:00|u3977
TRN-407997|W67547I15880|2014-09-22 09:24:26|27992.55|ACT-00032|ACT-34595|processed|payment for invoice # INV-988716|2014-09-25 00:00:00|u2204
TRN-486159|M38476T17999|2015-01-26 14:55:04|54240.52|ACT-00037|ACT-87049|processed|payment for invoice # INV-140898|2015-01-29 00:00:00|u3977
TRN-973968|I16809C92067|2014-01-16 11:09:43|11285.39|ACT-00004|ACT-93939|processed|payment for invoice # INV-166359|2014-01-23 00:00:00|u3977
TRN-741821|N56634J86938|2016-11-15 15:22:05|59882.41|ACT-00021|ACT-45489|processed|payment for invoice # INV-175281|2016-11-17 00:00:00|u3977
TRN-775812|U12307N39524|2015-04-20 11:55:05|24150.13|ACT-00012|ACT-34595|processed|payment for invoice # INV-287169|2015-04-23 00:00:00|u2204
TRN-353536|E71373K86712|2012-03-12 14:43:50|21586.44|ACT-00035|ACT-50360|processed|payment for invoice # INV-441150|2012-03-15 00:00:00|u2204
TRN-322308|V90215X52731|2012-05-07 09:09:38|5690.45|ACT-00008|ACT-55676|processed|payment for invoice # INV-838401|2012-05-10 00:00:00|u2204
TRN-521229|Y12255X87755|2012-03-12 15:21:49|7452.78|ACT-00037|ACT-55676|processed|payment for invoice # INV-812829|2012-03-15 00:00:00|u2204
TRN-517372|K93946S20130|2015-07-28 10:10:58|21517.12|ACT-00002|ACT-93939|processed|payment for invoice # INV-483009|2015-07-30 00:00:00|u2204
TRN-367692|C66263Y45176|2011-03-15 10:03:42|19763.64|ACT-00037|ACT-53050|processed|payment for invoice # INV-355977|2011-03-17 00:00:00|u3977
TRN-726380|F19779Y11758|2016-03-09 10:45:35|496.39|ACT-00019|ACT-95624|processed|payment for invoice # INV-968270|2016-03-10 00:00:00|u9615
TRN-911287|L37868R35593|2011-12-02 11:35:07|3128.22|ACT-00011|ACT-87049|processed|payment for invoice # INV-830401|2011-12-08 00:00:00|u9615
TRN-530404|R35474X12432|2010-07-26 15:13:59|4165.09|ACT-00020|ACT-34595|processed|payment for invoice # INV-580096|2010-07-29 00:00:00|u2204
TRN-212563|J47161B46477|2013-04-24 14:01:16|42000.77|ACT-00020|ACT-69837|processed|payment for invoice # INV-910609|2013-04-25 00:00:00|u3977
TRN-237290|H58387X16771|2012-11-02 10:12:20|25660.04|ACT-00026|ACT-80828|processed|payment for invoice # INV-893179|2012-11-08 00:00:00|u2204
TRN-644740|F83894B68249|2014-05-13 09:50:47|25414.38|ACT-00026|ACT-87049|processed|payment for invoice # INV-582901|2014-05-15 00:00:00|u2204
TRN-323608|M72954F22269|2011-05-17 13:19:28|35070.38|ACT-00024|ACT-95862|processed|payment for invoice # INV-897102|2011-05-19 00:00:00|u3269
TRN-228403|W60762U61589|2015-12-21 16:03:13|24013.27|ACT-00018|ACT-80828|processed|payment for invoice # INV-284170|2015-12-24 00:00:00|u2204
TRN-499241|I16838C82974|2010-06-21 12:21:32|19114.34|ACT-00033|ACT-45489|processed|payment for invoice # INV-468561|2010-06-24 00:00:00|u3977
TRN-151477|P95789A90263|2015-04-08 13:48:13|42656.31|ACT-00030|ACT-34595|processed|payment for invoice # INV-887450|2015-04-09 00:00:00|u3977
TRN-407726|W85063I40339|2015-12-21 15:21:19|2733.20|ACT-00012|ACT-34595|processed|payment for invoice # INV-856134|2015-12-24 00:00:00|u9615
TRN-777172|J88401T61267|2015-06-10 10:16:57|67.87|ACT-00031|ACT-59698|processed|payment for invoice # INV-761852|2015-06-11 00:00:00|u0371
TRN-340194|H40186X93602|2014-09-30 09:26:40|68182.67|ACT-00007|ACT-34595|processed|payment for invoice # INV-321421|2014-10-02 00:00:00|u3977
TRN-621977|A41051E96701|2014-05-22 09:16:03|28086.53|ACT-00023|ACT-34595|processed|payment for invoice # INV-311758|2014-06-05 00:00:00|u2204
TRN-243174|U25679U15258|2011-06-06 15:33:16|4617.31|ACT-00020|ACT-87049|processed|payment for invoice # INV-353207|2011-06-09 00:00:00|u9615
TRN-342822|C93172K94096|2015-04-10 10:00:15|661.20|ACT-00017|ACT-59698|processed|payment for invoice # INV-898107|2015-04-16 00:00:00|u9615
TRN-486959|K73264Z50633|2015-11-30 11:22:12|60520.03|ACT-00029|ACT-34595|processed|payment for invoice # INV-996051|2015-12-03 00:00:00|u3977
TRN-934656|A29365L54100|2014-01-29 10:37:48|14996.54|ACT-00020|ACT-87049|processed|payment for invoice # INV-467686|2014-01-30 00:00:00|u2204
TRN-155336|O16659H23388|2011-12-05 10:22:36|4189.91|ACT-00006|ACT-14189|processed|payment for invoice # INV-980691|2011-12-08 00:00:00|u9615
TRN-408116|Q16665O12207|2012-12-27 14:43:36|4113.15|ACT-00007|ACT-45489|processed|payment for invoice # INV-498889|2013-01-03 00:00:00|u9615
TRN-603133|Y18824T42070|2011-11-10 10:11:08|18396.42|ACT-00024|ACT-36515|processed|payment for invoice # INV-943959|2011-11-17 00:00:00|u2204
TRN-583320|M42271K88103|2010-06-22 09:59:52|39063.56|ACT-00027|ACT-21097|processed|payment for invoice # INV-230372|2010-06-24 00:00:00|u3977
TRN-701775|U56645B24175|2012-07-06 14:20:14|10352.32|ACT-00028|ACT-50360|processed|payment for invoice # INV-151727|2012-07-12 00:00:00|u3977
TRN-649153|S64621W13032|2013-01-14 16:40:05|6056.21|ACT-00037|ACT-59698|processed|payment for invoice # INV-735389|2013-01-17 00:00:00|u2204
TRN-781178|L91267F28561|2011-11-14 13:58:08|3812.76|ACT-00037|ACT-93939|processed|payment for invoice # INV-847451|2011-11-17 00:00:00|u9615
TRN-993181|K16827U23411|2008-08-06 09:07:52|6618.53|ACT-00036|ACT-95862|processed|payment for invoice # INV-110841|2008-08-07 00:00:00|u3977
TRN-927996|D93298T60276|2013-05-21 15:02:50|3969.93|ACT-00037|ACT-59698|processed|payment for invoice # INV-855318|2013-05-23 00:00:00|u9615
TRN-457667|B11853D39966|2015-01-27 10:43:05|1357.68|ACT-00034|ACT-87049|processed|payment for invoice # INV-827587|2015-01-29 00:00:00|u9615
TRN-659585|X96995B65501|2013-04-15 09:27:13|2844.12|ACT-00026|ACT-93939|processed|payment for invoice # INV-985475|2013-04-18 00:00:00|u9615
TRN-548797|B16014U42578|2014-01-14 16:32:54|9768.18|ACT-00008|ACT-93939|processed|payment for invoice # INV-658800|2014-01-16 00:00:00|u3977
TRN-784690|A18096O98495|2012-09-13 15:00:57|18453.96|ACT-00032|ACT-14189|processed|payment for invoice # INV-837402|2012-09-20 00:00:00|u2204
TRN-181670|M76815Q91838|2013-01-07 14:22:54|5405.71|ACT-00027|ACT-36515|processed|payment for invoice # INV-274624|2013-01-10 00:00:00|u2204
TRN-942235|K59765K23352|2012-12-31 12:28:15|34205.22|ACT-00024|ACT-46570|processed|payment for invoice # INV-430325|2013-01-03 00:00:00|u3977
TRN-627168|L39375D26679|2010-07-05 13:38:56|9522.38|ACT-00037|ACT-55676|processed|payment for invoice # INV-614694|2010-07-08 00:00:00|u2204
TRN-125988|Y90185H38148|2014-04-25 15:23:33|24577.90|ACT-00016|ACT-84271|processed|payment for invoice # INV-656292|2014-05-08 00:00:00|u2204
TRN-923868|J95492F88612|2016-04-07 10:22:44|31324.09|ACT-00026|ACT-34595|processed|payment for invoice # INV-889749|2016-04-14 00:00:00|u3977
TRN-938898|D89740L85913|2011-12-08 10:58:27|11916.71|ACT-00018|ACT-95862|processed|payment for invoice # INV-244131|2011-12-15 00:00:00|u3977
TRN-303661|I34607K11614|2006-05-08 15:18:47|9337.15|ACT-00011|ACT-70849|processed|payment for invoice # INV-336823|2006-05-11 00:00:00|u2204
TRN-410191|N82554O96947|2015-02-25 16:43:10|7700.84|ACT-00004|ACT-59698|processed|payment for invoice # INV-148649|2015-02-26 00:00:00|u2204
TRN-281892|P28053B64931|2004-12-27 14:00:27|5597.67|ACT-00036|ACT-20925|processed|payment for invoice # INV-915157|2004-12-30 00:00:00|u2204
TRN-925724|D76928C33223|2011-12-12 13:22:49|5304.42|ACT-00002|ACT-95862|processed|payment for invoice # INV-928357|2011-12-15 00:00:00|u2204
TRN-237223|C58997G55880|2008-03-25 14:07:02|17479.40|ACT-00025|ACT-86906|processed|payment for invoice # INV-774973|2008-03-27 00:00:00|u2204
TRN-332923|S53950R32604|2015-03-27 10:54:55|8755.33|ACT-00015|ACT-36515|processed|payment for invoice # INV-362935|2015-04-02 00:00:00|u2204
TRN-397190|L65637H32576|2006-01-06 10:33:45|4842.47|ACT-00005|ACT-70849|processed|payment for invoice # INV-627194|2006-01-12 00:00:00|u9615
TRN-712843|F87711T38459|2014-06-05 10:47:04|8388.03|ACT-00001|ACT-50360|processed|payment for invoice # INV-935363|2014-06-12 00:00:00|u2204
TRN-235189|F22419V28160|2011-01-28 15:50:52|50278.00|ACT-00032|ACT-86906|processed|payment for invoice # INV-904877|2011-02-03 00:00:00|u3977
TRN-827731|V76519K23473|2010-04-22 12:12:29|26153.39|ACT-00005|ACT-11034|processed|payment for invoice # INV-200823|2010-04-29 00:00:00|u2204
TRN-237637|A46836X44292|2016-11-21 15:19:18|643.43|ACT-00037|ACT-46570|processed|payment for invoice # INV-501959|2016-11-24 00:00:00|u9615
TRN-389312|D89329B33422|2014-12-03 16:28:36|16822.33|ACT-00026|ACT-87049|processed|payment for invoice # INV-144107|2014-12-04 00:00:00|u2204
TRN-955934|M92180J61741|2014-09-29 15:09:16|19588.94|ACT-00016|ACT-34595|processed|payment for invoice # INV-807658|2014-10-02 00:00:00|u2204
TRN-681089|L88432V88079|2011-05-16 12:20:55|4581.54|ACT-00012|ACT-84271|processed|payment for invoice # INV-309369|2011-05-19 00:00:00|u9615
TRN-746516|C20980W86794|2007-04-10 12:19:04|12889.45|ACT-00006|ACT-72017|processed|payment for invoice # INV-122737|2007-04-12 00:00:00|u2204
TRN-375676|C27385C65969|2010-07-02 13:22:17|6989.10|ACT-00030|ACT-95624|processed|payment for invoice # INV-514978|2010-07-08 00:00:00|u2204
TRN-907694|D75936J55563|2013-05-13 09:51:11|42744.90|ACT-00012|ACT-69808|processed|payment for invoice # INV-705854|2013-05-16 00:00:00|u3977
TRN-635206|R43324T66236|2012-03-12 13:15:58|7080.18|ACT-00027|ACT-11034|processed|payment for invoice # INV-837106|2012-03-15 00:00:00|u2204
TRN-949399|A72679J63441|2014-07-09 12:41:01|13439.12|ACT-00020|ACT-87049|processed|payment for invoice # INV-655456|2014-07-10 00:00:00|u2204
TRN-679937|G37556L26598|2013-03-20 11:44:51|1557.65|ACT-00015|ACT-87049|processed|payment for invoice # INV-464073|2013-03-21 00:00:00|u9615
TRN-148237|V96488P59561|2006-12-18 15:07:17|27116.45|ACT-00030|ACT-46570|processed|payment for invoice # INV-414056|2006-12-21 00:00:00|u2204
TRN-536456|L20578Y58104|2013-01-15 11:42:43|2811.24|ACT-00035|ACT-59698|processed|payment for invoice # INV-429609|2013-01-17 00:00:00|u9615
TRN-987639|I79951R94356|2016-03-29 10:17:09|13996.52|ACT-00013|ACT-95624|processed|payment for invoice # INV-359434|2016-03-31 00:00:00|u2204
TRN-549335|A75362X51220|2013-03-20 14:35:26|6195.44|ACT-00035|ACT-14189|processed|payment for invoice # INV-642216|2013-03-21 00:00:00|u2204
TRN-846871|E53713F23292|2013-03-25 14:14:02|9325.03|ACT-00037|ACT-45489|processed|payment for invoice # INV-300595|2013-03-28 00:00:00|u2204
TRN-486548|B25590D74289|2015-04-13 10:56:23|25177.11|ACT-00001|ACT-59698|processed|payment for invoice # INV-364332|2015-04-16 00:00:00|u2204
TRN-965332|B21641X71128|2011-09-29 14:50:50|11797.16|ACT-00010|ACT-46570|processed|payment for invoice # INV-996365|2011-10-06 00:00:00|u2204
TRN-589922|G55562Z42769|2011-03-21 10:41:43|15288.22|ACT-00021|ACT-36515|processed|payment for invoice # INV-983889|2011-03-24 00:00:00|u2204
TRN-823438|S26722Y79601|2014-09-08 11:22:53|26416.52|ACT-00026|ACT-93939|processed|payment for invoice # INV-992571|2014-09-11 00:00:00|u3977
TRN-701804|S95207L97471|2011-02-15 09:47:01|56273.29|ACT-00035|ACT-53050|processed|payment for invoice # INV-319392|2011-02-17 00:00:00|u3977
TRN-181943|G71126R21917|2012-10-01 12:57:31|1333.08|ACT-00013|ACT-55676|processed|payment for invoice # INV-586070|2012-10-04 00:00:00|u9615
TRN-322923|W59596D55845|2013-03-18 10:43:19|34158.65|ACT-00018|ACT-93939|processed|payment for invoice # INV-565797|2013-03-21 00:00:00|u3977
TRN-998205|Q91960V49899|2013-12-18 09:36:27|31409.78|ACT-00035|ACT-87049|processed|payment for invoice # INV-972125|2013-12-19 00:00:00|u3977
TRN-203463|J22165D73488|2014-05-19 12:08:11|9295.71|ACT-00019|ACT-45489|processed|payment for invoice # INV-362321|2014-05-22 00:00:00|u2204
TRN-106623|R73740U51100|2015-10-26 13:30:47|12322.45|ACT-00016|ACT-34595|processed|payment for invoice # INV-496852|2015-10-29 00:00:00|u2204
TRN-496801|E36508A40834|2007-09-25 10:17:08|52385.77|ACT-00003|ACT-87049|processed|payment for invoice # INV-115201|2007-09-27 00:00:00|u3977
TRN-939580|F34339A22819|2011-10-24 13:48:51|51215.28|ACT-00010|ACT-95657|processed|payment for invoice # INV-802451|2011-10-27 00:00:00|u3977
TRN-476409|A26646B83796|2011-11-14 13:46:45|3312.39|ACT-00032|ACT-34595|processed|payment for invoice # INV-554604|2011-11-17 00:00:00|u2204
TRN-689334|O86054N40776|2008-08-08 10:29:19|30046.69|ACT-00033|ACT-93939|processed|payment for invoice # INV-210172|2008-08-14 00:00:00|u3977
TRN-788452|M19227Z41626|2004-12-27 13:40:05|1831.10|ACT-00005|ACT-20925|processed|payment for invoice # INV-658835|2004-12-30 00:00:00|u9615
TRN-971805|F85371Y39276|2008-06-10 12:41:11|32968.64|ACT-00012|ACT-21097|processed|payment for invoice # INV-216290|2008-06-12 00:00:00|u3977
TRN-138236|A36378N58587|2015-11-30 09:44:52|7119.87|ACT-00019|ACT-45489|processed|payment for invoice # INV-196781|2015-12-03 00:00:00|u2204
TRN-232656|W65290B26615|2015-07-24 15:01:34|6470.51|ACT-00031|ACT-87049|processed|payment for invoice # INV-893439|2015-07-30 00:00:00|u2204
TRN-451396|G27536K66306|2015-02-23 14:14:58|14398.19|ACT-00006|ACT-84271|processed|payment for invoice # INV-337175|2015-02-26 00:00:00|u2204
TRN-523755|U24940K35894|2016-03-29 16:20:53|22820.23|ACT-00035|ACT-95624|processed|payment for invoice # INV-235546|2016-03-31 00:00:00|u2204
TRN-577177|X94124Y68264|2011-03-15 14:27:55|33332.05|ACT-00002|ACT-70849|processed|payment for invoice # INV-728684|2011-03-17 00:00:00|u3977
TRN-258636|K12570D24436|2013-01-07 13:38:05|528.25|ACT-00010|ACT-93939|processed|payment for invoice # INV-376637|2013-01-10 00:00:00|u9615
TRN-753941|K44366T78292|2011-01-10 10:19:36|38055.23|ACT-00020|ACT-45489|processed|payment for invoice # INV-390154|2011-01-13 00:00:00|u3977
TRN-505930|Z52753S75640|2014-04-04 10:15:57|14588.10|ACT-00004|ACT-59698|processed|payment for invoice # INV-295430|2014-04-10 00:00:00|u3977
TRN-461740|Z72461Y26293|2013-01-28 16:45:35|32589.36|ACT-00011|ACT-69837|processed|payment for invoice # INV-915978|2013-01-31 00:00:00|u3977
TRN-928404|L23115D48683|2015-11-02 09:57:29|2741.83|ACT-00007|ACT-45489|processed|payment for invoice # INV-157860|2015-11-05 00:00:00|u9615
TRN-523594|B29774Q94570|2015-07-09 14:05:54|5707.47|ACT-00036|ACT-95624|processed|payment for invoice # INV-688078|2015-07-16 00:00:00|u2204
TRN-507640|T39500B52989|2016-03-03 13:19:17|39441.76|ACT-00036|ACT-95624|processed|payment for invoice # INV-152200|2016-03-10 00:00:00|u3977
TRN-650874|R49082B58342|2011-12-07 16:21:04|2640.22|ACT-00005|ACT-11034|processed|payment for invoice # INV-554743|2011-12-08 00:00:00|u2204
TRN-199876|G24880F59395|2015-11-23 13:37:25|30760.00|ACT-00034|ACT-45489|processed|payment for invoice # INV-289595|2015-11-26 00:00:00|u3977
TRN-204319|T36130B93493|2015-04-20 10:54:54|53258.48|ACT-00032|ACT-34595|processed|payment for invoice # INV-882725|2015-04-23 00:00:00|u3977
