invoice_id|po_id|vendor_id|invoice_dt|invoice_image_path|payment_due_by_dt|received_dt|received_by_user_id|total
INV-762810|PUO-088253547|VD-0460|2011-11-21 00:00:00|not available|2011-12-21 00:00:00|2011-11-24 00:00:00|u2204|4624.19
INV-470021|PUO-064264881|VD-0092|2013-08-02 00:00:00|not available|2013-10-01 00:00:00|2013-08-09 00:00:00|u1645|18172.89
INV-317274|PUO-082475353|VD-0509|2014-09-02 00:00:00|not available|2014-10-23 00:00:00|2014-09-08 00:00:00|u0775|19665.12
INV-235699|PUO-292746937|VD-0272|2015-11-09 00:00:00|not available|2016-01-19 00:00:00|2015-11-19 00:00:00|u8049|10025.84
INV-915791|PUO-203375495|VD-0074|2006-02-07 00:00:00|not available|2006-03-13 00:00:00|2006-02-14 00:00:00|u0371|21600.00
INV-817764|PUO-037605034|VD-0552|2010-11-18 00:00:00|not available|2011-02-15 00:00:00|2010-11-29 00:00:00|u1645|9336.00
INV-986105|PUO-195220206|VD-0461|2016-02-15 00:00:00|not available|2016-04-27 00:00:00|2016-02-23 00:00:00|u8204|7396.19
INV-289948|PUO-166680945|VD-0582|2015-01-19 00:00:00|not available|2015-03-25 00:00:00|2015-01-28 00:00:00|u0775|30200.00
INV-405691|PUO-353161658|VD-0461|2016-03-02 00:00:00|not available|2016-05-17 00:00:00|2016-03-08 00:00:00|u0775|51220.06
INV-628473|PUO-346455381|VD-0579|2013-06-07 00:00:00|not available|2013-08-19 00:00:00|2013-06-14 00:00:00|u8295|550.77
INV-709868|PUO-098829702|VD-0290|2008-06-24 00:00:00|not available|2008-08-06 00:00:00|2008-06-27 00:00:00|u8204|23025.40
INV-873070|PUO-192240607|VD-0478|2015-05-27 00:00:00|not available|2015-08-13 00:00:00|2015-06-03 00:00:00|u8295|6801.51
INV-318870|PUO-380957814|VD-0125|2016-02-17 00:00:00|not available|2016-04-26 00:00:00|2016-02-19 00:00:00|u0371|4148.83
INV-964355|PUO-370239634|VD-0142|2011-01-26 00:00:00|not available|2011-04-20 00:00:00|2011-01-31 00:00:00|u4539|4532.71
INV-980909|PUO-279946816|VD-0434|2012-05-24 00:00:00|not available|2012-07-30 00:00:00|2012-06-04 00:00:00|u8295|35830.03
INV-823175|PUO-159303362|VD-0575|2012-02-22 00:00:00|not available|2012-04-12 00:00:00|2012-03-02 00:00:00|u2204|5719.10
INV-163189|PUO-298108150|VD-0460|2013-03-14 00:00:00|not available|2013-05-14 00:00:00|2013-03-22 00:00:00|u9615|7952.24
INV-168838|PUO-008921368|VD-0112|2013-02-05 00:00:00|not available|2013-04-04 00:00:00|2013-02-08 00:00:00|u1584|28503.99
INV-982282|PUO-232311268|VD-0050|2011-02-23 00:00:00|not available|2011-04-11 00:00:00|2011-03-02 00:00:00|u4539|10023.17
INV-698290|PUO-144160403|VD-0407|2011-10-18 00:00:00|not available|2011-11-24 00:00:00|2011-10-25 00:00:00|u2204|7932.11
INV-147279|PUO-145478760|VD-0516|2012-08-29 00:00:00|not available|2012-10-01 00:00:00|2012-09-06 00:00:00|u1645|1123.27
INV-356085|PUO-322871782|VD-0366|2013-03-27 00:00:00|not available|2013-06-12 00:00:00|2013-04-02 00:00:00|u0371|55056.17
INV-393215|PUO-245330291|VD-0377|2016-03-21 00:00:00|not available|2016-05-26 00:00:00|2016-03-24 00:00:00|u7724|34838.49
INV-792766|PUO-342548308|VD-0092|2015-02-23 00:00:00|not available|2015-05-18 00:00:00|2015-03-02 00:00:00|u0371|14530.38
INV-461390|PUO-397522020|VD-0553|2016-06-06 00:00:00|not available|2016-08-19 00:00:00|2016-06-13 00:00:00|u8295|31706.49
INV-607831|PUO-155754113|VD-0231|2010-03-24 00:00:00|not available|2010-05-14 00:00:00|2010-03-26 00:00:00|u3977|18212.84
INV-440465|PUO-252874483|VD-0410|2012-08-10 00:00:00|not available|2012-09-24 00:00:00|2012-08-20 00:00:00|u4539|26592.41
INV-654609|PUO-098438656|VD-0529|2008-06-23 00:00:00|not available|2008-09-10 00:00:00|2008-06-26 00:00:00|u1645|5700.00
INV-260613|PUO-150391597|VD-0575|2012-02-14 00:00:00|not available|2012-04-11 00:00:00|2012-02-21 00:00:00|u8049|4862.27
INV-218885|PUO-248804543|VD-0379|2015-12-07 00:00:00|not available|2016-02-23 00:00:00|2015-12-14 00:00:00|u7724|51452.89
INV-900249|PUO-379665227|VD-0568|2015-03-25 00:00:00|not available|2015-04-27 00:00:00|2015-03-30 00:00:00|u1584|34495.57
INV-957452|PUO-065157624|VD-0582|2014-07-14 00:00:00|not available|2014-09-29 00:00:00|2014-07-21 00:00:00|u7724|3731.02
INV-309636|PUO-053180219|VD-0231|2010-03-24 00:00:00|not available|2010-05-21 00:00:00|2010-03-29 00:00:00|u8204|1592.09
INV-591250|PUO-048169441|VD-0585|2011-09-01 00:00:00|not available|2011-10-17 00:00:00|2011-09-09 00:00:00|u8204|1617.48
INV-889767|PUO-060759310|VD-0172|2012-03-19 00:00:00|not available|2012-05-29 00:00:00|2012-03-26 00:00:00|u1645|75307.12
INV-989219|PUO-159596823|VD-0553|2014-07-21 00:00:00|not available|2014-09-02 00:00:00|2014-07-28 00:00:00|u8204|40010.71
INV-909428|PUO-098143634|VD-0014|2011-05-09 00:00:00|not available|2011-06-09 00:00:00|2011-05-18 00:00:00|u8204|24595.40
INV-523504|PUO-019267287|VD-0173|2013-12-12 00:00:00|not available|2014-01-27 00:00:00|2013-12-23 00:00:00|u3977|3334.38
INV-837338|PUO-367567799|VD-0461|2016-03-03 00:00:00|not available|2016-04-12 00:00:00|2016-03-14 00:00:00|u8049|23944.16
INV-406935|PUO-042722020|VD-0526|2011-11-14 00:00:00|not available|2011-12-28 00:00:00|2011-11-23 00:00:00|u2204|21784.62
INV-730646|PUO-358782269|VD-0092|2015-03-18 00:00:00|not available|2015-05-26 00:00:00|2015-03-26 00:00:00|u8295|12331.95
INV-859828|PUO-236824868|VD-0231|2010-03-24 00:00:00|not available|2010-05-03 00:00:00|2010-03-29 00:00:00|u8049|46017.40
INV-387674|PUO-088410888|VD-0100|2011-11-09 00:00:00|not available|2011-12-12 00:00:00|2011-11-18 00:00:00|u3977|18641.22
INV-546892|PUO-030607100|VD-0575|2011-09-05 00:00:00|not available|2011-10-17 00:00:00|2011-09-13 00:00:00|u2204|6678.68
INV-856582|PUO-096446869|VD-0478|2014-06-30 00:00:00|not available|2014-09-01 00:00:00|2014-07-07 00:00:00|u9615|36010.01
INV-963851|PUO-259312957|VD-0575|2012-07-11 00:00:00|not available|2012-10-03 00:00:00|2012-07-16 00:00:00|u2204|9608.07
INV-298976|PUO-197251651|VD-0526|2011-11-15 00:00:00|not available|2012-02-08 00:00:00|2011-11-21 00:00:00|u4539|38878.47
INV-532592|PUO-189483060|VD-0046|2011-10-20 00:00:00|not available|2011-12-14 00:00:00|2011-10-31 00:00:00|u9615|3507.10
INV-971965|PUO-090220991|VD-0564|2011-03-22 00:00:00|not available|2011-06-01 00:00:00|2011-03-30 00:00:00|u4539|26952.27
INV-117076|PUO-007308497|VD-0574|2011-03-15 00:00:00|not available|2011-05-02 00:00:00|2011-03-21 00:00:00|u0371|43322.97
INV-855947|PUO-285564217|VD-0575|2012-08-13 00:00:00|not available|2012-10-02 00:00:00|2012-08-22 00:00:00|u2204|2783.20
INV-576486|PUO-230974342|VD-0568|2015-03-25 00:00:00|not available|2015-06-15 00:00:00|2015-04-07 00:00:00|u0775|26895.23
INV-893747|PUO-100519296|VD-0467|2011-09-19 00:00:00|not available|2011-11-28 00:00:00|2011-09-27 00:00:00|u7882|6923.11
INV-915520|PUO-359334894|VD-0046|2011-10-20 00:00:00|not available|2012-01-17 00:00:00|2011-10-25 00:00:00|u2204|25378.17
INV-413806|PUO-087662921|VD-0342|2006-06-02 00:00:00|not available|2006-08-03 00:00:00|2006-06-09 00:00:00|u8204|8368.89
INV-817882|PUO-346708035|VD-0576|2015-11-19 00:00:00|not available|2015-12-28 00:00:00|2015-11-23 00:00:00|u7724|51057.58
INV-836178|PUO-136470658|VD-0330|2008-08-04 00:00:00|not available|2008-10-23 00:00:00|2008-08-12 00:00:00|u0371|89078.93
INV-632568|PUO-321527383|VD-0545|2015-10-20 00:00:00|not available|2015-12-09 00:00:00|2015-10-26 00:00:00|u2204|9118.02
INV-655669|PUO-013396379|VD-0183|2011-04-04 00:00:00|not available|2011-06-23 00:00:00|2011-04-11 00:00:00|u8204|25698.49
INV-395983|PUO-097724208|VD-0460|2011-12-15 00:00:00|not available|2012-03-02 00:00:00|2011-12-19 00:00:00|u8049|12677.50
INV-546125|PUO-282768060|VD-0570|2011-11-10 00:00:00|not available|2012-01-23 00:00:00|2011-11-18 00:00:00|u8204|29417.92
INV-993028|PUO-392279574|VD-0046|2011-10-20 00:00:00|not available|2012-01-09 00:00:00|2011-10-26 00:00:00|u2204|22583.47
INV-143564|PUO-218841371|VD-0273|2015-09-28 00:00:00|not available|2015-11-02 00:00:00|2015-10-02 00:00:00|u4539|16561.00
INV-790391|PUO-544197063|VD-0279|2015-03-17 00:00:00|not available|2015-05-18 00:00:00|2015-03-19 00:00:00|u7724|3921.58
INV-954979|PUO-190709847|VD-0304|2008-02-28 00:00:00|not available|2008-04-02 00:00:00|2008-03-05 00:00:00|u8204|22969.26
INV-215341|PUO-022427634|VD-0023|2012-02-13 00:00:00|not available|2012-04-03 00:00:00|2012-02-20 00:00:00|u3977|45.91
INV-983067|PUO-088670235|VD-0585|2011-09-01 00:00:00|not available|2011-10-19 00:00:00|2011-09-08 00:00:00|u8204|17851.81
INV-163251|PUO-013666166|VD-0521|2011-08-02 00:00:00|not available|2011-09-22 00:00:00|2011-08-08 00:00:00|u9615|23087.10
INV-126209|PUO-005837004|VD-0229|2012-10-11 00:00:00|not available|2012-12-21 00:00:00|2012-10-16 00:00:00|u8049|49065.01
INV-627345|PUO-292681188|VD-0460|2013-02-21 00:00:00|not available|2013-05-03 00:00:00|2013-02-25 00:00:00|u0371|37858.38
INV-567687|PUO-040460191|VD-0012|2008-05-02 00:00:00|not available|2008-07-10 00:00:00|2008-05-13 00:00:00|u4539|563.75
INV-339457|PUO-120932004|VD-0575|2011-12-19 00:00:00|not available|2012-03-12 00:00:00|2011-12-27 00:00:00|u1584|12111.51
INV-397835|PUO-133888354|VD-0576|2015-11-19 00:00:00|not available|2016-01-12 00:00:00|2015-11-23 00:00:00|u0775|78413.43
INV-240399|PUO-131762001|VD-0023|2012-02-14 00:00:00|not available|2012-04-18 00:00:00|2012-02-17 00:00:00|u3977|9023.46
INV-279887|PUO-072268884|VD-0046|2011-10-20 00:00:00|not available|2012-01-09 00:00:00|2011-10-31 00:00:00|u2204|12662.35
INV-425339|PUO-060217532|VD-0304|2008-02-28 00:00:00|not available|2008-04-28 00:00:00|2008-03-05 00:00:00|u0371|440.01
INV-988965|PUO-236656041|VD-0377|2016-03-01 00:00:00|not available|2016-05-11 00:00:00|2016-03-08 00:00:00|u8295|28209.70
INV-237932|PUO-135869677|VD-0245|2013-01-04 00:00:00|not available|2013-02-26 00:00:00|2013-01-14 00:00:00|u8049|29837.52
INV-567972|PUO-046785215|VD-0570|2011-11-08 00:00:00|not available|2011-12-20 00:00:00|2011-11-15 00:00:00|u0371|17698.79
INV-774007|PUO-156877518|VD-0014|2011-08-02 00:00:00|not available|2011-09-07 00:00:00|2011-08-10 00:00:00|u0371|15881.85
INV-303093|PUO-039885436|VD-0581|2010-05-25 00:00:00|not available|2010-08-06 00:00:00|2010-05-31 00:00:00|u3977|13051.65
INV-456324|PUO-021711422|VD-0513|2008-05-16 00:00:00|not available|2008-07-24 00:00:00|2008-05-23 00:00:00|u0371|87680.34
INV-416393|PUO-061968205|VD-0027|2011-11-11 00:00:00|not available|2012-01-26 00:00:00|2011-11-21 00:00:00|u1645|2367.04
INV-607615|PUO-185908563|VD-0585|2011-09-02 00:00:00|not available|2011-11-03 00:00:00|2011-09-12 00:00:00|u8204|6467.18
INV-783644|PUO-153467483|VD-0304|2008-02-28 00:00:00|not available|2008-05-08 00:00:00|2008-03-03 00:00:00|u8204|67351.00
INV-610710|PUO-050438933|VD-0585|2011-09-01 00:00:00|not available|2011-11-21 00:00:00|2011-09-05 00:00:00|u8204|38394.11
INV-595984|PUO-348348590|VD-0366|2013-03-27 00:00:00|not available|2013-06-03 00:00:00|2013-04-02 00:00:00|u0371|36221.39
INV-930532|PUO-188495426|VD-0573|2004-12-01 00:00:00|not available|2005-02-22 00:00:00|2004-12-06 00:00:00|u8204|34874.09
INV-482173|PUO-050863987|VD-0112|2013-02-05 00:00:00|not available|2013-04-15 00:00:00|2013-02-11 00:00:00|u9615|7505.96
INV-784647|PUO-167363255|VD-0181|2013-01-21 00:00:00|not available|2013-04-02 00:00:00|2013-01-28 00:00:00|u8049|18285.32
INV-819565|PUO-041156865|VD-0290|2007-11-06 00:00:00|not available|2007-12-31 00:00:00|2007-11-13 00:00:00|u8204|25656.83
INV-516774|PUO-058418069|VD-0575|2011-10-11 00:00:00|not available|2011-11-23 00:00:00|2011-10-17 00:00:00|u2204|36902.31
INV-695710|PUO-253875701|VD-0516|2013-10-11 00:00:00|not available|2013-12-04 00:00:00|2013-10-16 00:00:00|u1645|4524.08
INV-280895|PUO-295759439|VD-0229|2012-10-15 00:00:00|not available|2012-11-30 00:00:00|2012-10-19 00:00:00|u1584|21925.91
INV-259617|PUO-453463299|VD-0279|2015-03-17 00:00:00|not available|2015-05-04 00:00:00|2015-03-24 00:00:00|u0775|21797.53
INV-864468|PUO-103494984|VD-0460|2011-12-27 00:00:00|not available|2012-02-07 00:00:00|2012-01-03 00:00:00|u0371|27059.02
INV-579871|PUO-150544858|VD-0461|2016-02-10 00:00:00|not available|2016-05-02 00:00:00|2016-02-12 00:00:00|u8204|2490.39
INV-608703|PUO-175210887|VD-0142|2009-09-11 00:00:00|not available|2009-11-11 00:00:00|2009-09-15 00:00:00|u4539|42156.42
INV-495039|PUO-208552641|VD-0379|2015-09-22 00:00:00|not available|2015-11-24 00:00:00|2015-09-29 00:00:00|u7724|856.87
INV-389146|PUO-093139756|VD-0380|2012-12-17 00:00:00|not available|2013-02-14 00:00:00|2012-12-24 00:00:00|u7882|8541.51
INV-314214|PUO-018485834|VD-0171|2011-02-11 00:00:00|not available|2011-04-11 00:00:00|2011-02-21 00:00:00|u4539|95456.54
INV-722099|PUO-109887330|VD-0101|2011-11-10 00:00:00|not available|2011-12-27 00:00:00|2011-11-15 00:00:00|u1584|20271.28
INV-939313|PUO-286168279|VD-0501|2013-04-23 00:00:00|not available|2013-07-04 00:00:00|2013-04-29 00:00:00|u8295|2026.90
INV-555053|PUO-026599548|VD-0569|2011-07-25 00:00:00|not available|2011-10-17 00:00:00|2011-08-04 00:00:00|u9615|34668.87
INV-362729|PUO-231915406|VD-0100|2013-02-14 00:00:00|not available|2013-04-03 00:00:00|2013-02-25 00:00:00|u4539|2618.56
INV-103288|PUO-091686426|VD-0585|2011-09-02 00:00:00|not available|2011-10-17 00:00:00|2011-09-05 00:00:00|u8204|27900.00
INV-731038|PUO-207879562|VD-0585|2011-09-02 00:00:00|not available|2011-10-20 00:00:00|2011-09-05 00:00:00|u9615|24982.76
INV-484334|PUO-178167437|VD-0279|2015-03-16 00:00:00|not available|2015-04-16 00:00:00|2015-03-26 00:00:00|u1645|39017.75
INV-300629|PUO-578881732|VD-0125|2016-10-03 00:00:00|not available|2016-12-29 00:00:00|2016-10-10 00:00:00|u1645|5265.95
INV-278078|PUO-038670476|VD-0014|2011-01-11 00:00:00|not available|2011-03-21 00:00:00|2011-01-14 00:00:00|u0371|12411.85
INV-730059|PUO-258113910|VD-0366|2013-03-26 00:00:00|not available|2013-05-29 00:00:00|2013-04-02 00:00:00|u8049|7267.80
INV-566555|PUO-109607119|VD-0379|2015-03-30 00:00:00|not available|2015-05-28 00:00:00|2015-04-07 00:00:00|u7724|1870.19
INV-494763|PUO-085386807|VD-0206|2015-11-04 00:00:00|not available|2016-01-05 00:00:00|2015-11-12 00:00:00|u7724|1055.14
INV-488292|PUO-352934595|VD-0553|2016-01-29 00:00:00|not available|2016-04-05 00:00:00|2016-02-05 00:00:00|u3977|52810.53
INV-502561|PUO-105889423|VD-0531|2007-03-19 00:00:00|not available|2007-06-18 00:00:00|2007-03-21 00:00:00|u4539|27621.37
INV-509267|PUO-275247585|VD-0570|2011-11-10 00:00:00|not available|2012-01-10 00:00:00|2011-11-21 00:00:00|u8204|12624.86
INV-749828|PUO-039858336|VD-0545|2013-06-03 00:00:00|not available|2013-07-17 00:00:00|2013-06-06 00:00:00|u7882|21000.00
INV-193733|PUO-015971944|VD-0579|2012-12-06 00:00:00|not available|2013-01-11 00:00:00|2012-12-10 00:00:00|u8049|14135.54
INV-655956|PUO-327699687|VD-0052|2014-04-23 00:00:00|not available|2014-06-30 00:00:00|2014-04-30 00:00:00|u7882|20700.36
INV-610807|PUO-099594703|VD-0516|2012-04-04 00:00:00|not available|2012-06-25 00:00:00|2012-04-10 00:00:00|u9615|42953.22
INV-840723|PUO-262187508|VD-0092|2014-09-22 00:00:00|not available|2014-12-08 00:00:00|2014-09-29 00:00:00|u1645|8759.72
INV-113420|PUO-410339965|VD-0579|2013-07-04 00:00:00|not available|2013-09-26 00:00:00|2013-07-08 00:00:00|u2204|33664.13
INV-662596|PUO-190268367|VD-0434|2012-05-24 00:00:00|not available|2012-07-26 00:00:00|2012-05-29 00:00:00|u1584|414.21
INV-415324|PUO-045877017|VD-0526|2011-11-14 00:00:00|not available|2012-02-08 00:00:00|2011-11-21 00:00:00|u0371|2360.86
INV-610209|PUO-517437091|VD-0279|2015-03-17 00:00:00|not available|2015-05-18 00:00:00|2015-03-26 00:00:00|u0371|10720.29
INV-556912|PUO-154842104|VD-0050|2011-02-23 00:00:00|not available|2011-05-02 00:00:00|2011-02-28 00:00:00|u8049|17895.28
INV-751090|PUO-280897160|VD-0526|2011-11-15 00:00:00|not available|2012-01-17 00:00:00|2011-11-17 00:00:00|u2204|1834.48
INV-538890|PUO-127859265|VD-0199|2013-02-22 00:00:00|not available|2013-04-22 00:00:00|2013-02-25 00:00:00|u9615|43556.85
INV-511711|PUO-095499322|VD-0052|2014-04-22 00:00:00|not available|2014-06-16 00:00:00|2014-04-29 00:00:00|u4539|7934.36
INV-290787|PUO-040503651|VD-0092|2013-06-06 00:00:00|not available|2013-07-11 00:00:00|2013-06-12 00:00:00|u1645|13495.65
INV-544066|PUO-326373328|VD-0302|2013-12-09 00:00:00|not available|2014-02-24 00:00:00|2013-12-12 00:00:00|u2204|8263.03
INV-174711|PUO-004105370|VD-0566|2006-11-17 00:00:00|not available|2006-12-21 00:00:00|2006-11-20 00:00:00|u1645|22217.00
INV-338890|PUO-004359697|VD-0404|2004-12-27 00:00:00|not available|2005-03-17 00:00:00|2004-12-29 00:00:00|u0371|3933.51
INV-509054|PUO-033656085|VD-0101|2011-11-09 00:00:00|not available|2012-01-03 00:00:00|2011-11-14 00:00:00|u1584|5948.02
INV-129824|PUO-459347510|VD-0582|2016-08-05 00:00:00|not available|2016-10-24 00:00:00|2016-08-09 00:00:00|u1584|37586.70
INV-122629|PUO-197862846|VD-0206|2015-11-05 00:00:00|not available|2015-12-14 00:00:00|2015-11-09 00:00:00|u8204|1274.61
INV-813653|PUO-457801139|VD-0582|2016-08-02 00:00:00|not available|2016-09-05 00:00:00|2016-08-11 00:00:00|u7724|21962.15
INV-232252|PUO-060714507|VD-0276|2012-05-14 00:00:00|not available|2012-07-09 00:00:00|2012-05-21 00:00:00|u2204|36209.22
INV-266906|PUO-280964122|VD-0199|2013-02-25 00:00:00|not available|2013-04-19 00:00:00|2013-02-27 00:00:00|u2204|25356.61
INV-342137|PUO-110342965|VD-0576|2015-11-19 00:00:00|not available|2016-02-08 00:00:00|2015-11-23 00:00:00|u1584|13466.82
INV-501758|PUO-247137395|VD-0575|2012-06-21 00:00:00|not available|2012-08-29 00:00:00|2012-06-29 00:00:00|u1584|11734.49
INV-412677|PUO-057656645|VD-0186|2010-01-19 00:00:00|not available|2010-04-06 00:00:00|2010-01-22 00:00:00|u3977|15313.18
INV-169355|PUO-251154761|VD-0199|2013-02-25 00:00:00|not available|2013-05-14 00:00:00|2013-03-04 00:00:00|u8295|23818.01
INV-571309|PUO-167791890|VD-0257|2013-12-24 00:00:00|not available|2014-02-18 00:00:00|2013-12-30 00:00:00|u0371|7278.62
INV-958837|PUO-260386459|VD-0574|2011-03-15 00:00:00|not available|2011-05-10 00:00:00|2011-03-22 00:00:00|u2204|18670.98
INV-362998|PUO-037250984|VD-0043|2008-11-03 00:00:00|not available|2009-01-14 00:00:00|2008-11-06 00:00:00|u8049|21016.02
INV-497362|PUO-023512097|VD-0513|2008-05-29 00:00:00|not available|2008-07-21 00:00:00|2008-06-05 00:00:00|u0371|104644.82
INV-474262|PUO-399616076|VD-0257|2013-12-27 00:00:00|not available|2014-03-18 00:00:00|2013-12-30 00:00:00|u8295|16760.50
INV-659748|PUO-187475218|VD-0509|2014-09-02 00:00:00|not available|2014-10-14 00:00:00|2014-09-08 00:00:00|u1645|11836.18
INV-629300|PUO-110710847|VD-0495|2011-02-22 00:00:00|not available|2011-05-06 00:00:00|2011-02-28 00:00:00|u0371|34083.84
INV-353803|PUO-120617448|VD-0046|2011-10-20 00:00:00|not available|2011-12-21 00:00:00|2011-10-31 00:00:00|u8049|35324.89
INV-270756|PUO-055562905|VD-0574|2011-03-15 00:00:00|not available|2011-05-31 00:00:00|2011-03-21 00:00:00|u2204|4014.71
INV-433033|PUO-108486237|VD-0172|2012-07-23 00:00:00|not available|2012-10-08 00:00:00|2012-07-30 00:00:00|u1645|35335.92
INV-313284|PUO-019765667|VD-0406|2011-10-11 00:00:00|not available|2011-11-14 00:00:00|2011-10-21 00:00:00|u7882|50319.18
INV-744691|PUO-167388938|VD-0573|2004-12-01 00:00:00|not available|2005-02-25 00:00:00|2004-12-10 00:00:00|u8204|31588.70
INV-937763|PUO-122333525|VD-0101|2011-11-10 00:00:00|not available|2011-12-19 00:00:00|2011-11-15 00:00:00|u1584|2139.24
